Minutes5UTC,Minutes5DK,PriceArea,CO2Emission
2019-11-13 14:55,2019-11-13 15:55,DK2,157
2019-11-13 14:55,2019-11-13 15:55,DK1,157
2019-11-13 14:50,2019-11-13 15:50,DK2,157
2019-11-13 14:50,2019-11-13 15:50,DK1,157
2019-11-13 14:45,2019-11-13 15:45,DK2,157
2019-11-13 14:45,2019-11-13 15:45,DK1,157
2019-11-13 14:40,2019-11-13 15:40,DK2,157
2019-11-13 14:40,2019-11-13 15:40,DK1,157
2019-11-13 14:35,2019-11-13 15:35,DK2,157
2019-11-13 14:35,2019-11-13 15:35,DK1,157
2019-11-13 14:30,2019-11-13 15:30,DK2,157
2019-11-13 14:30,2019-11-13 15:30,DK1,157
2019-11-13 14:25,2019-11-13 15:25,DK2,157
2019-11-13 14:25,2019-11-13 15:25,DK1,157
2019-11-13 14:20,2019-11-13 15:20,DK2,157
2019-11-13 14:20,2019-11-13 15:20,DK1,157
2019-11-13 14:15,2019-11-13 15:15,DK2,158
2019-11-13 14:15,2019-11-13 15:15,DK1,158
2019-11-13 14:10,2019-11-13 15:10,DK2,158
2019-11-13 14:10,2019-11-13 15:10,DK1,158
2019-11-13 14:05,2019-11-13 15:05,DK2,158
2019-11-13 14:05,2019-11-13 15:05,DK1,158
2019-11-13 14:00,2019-11-13 15:00,DK2,156
2019-11-13 14:00,2019-11-13 15:00,DK1,156
2019-11-13 13:55,2019-11-13 14:55,DK2,150
2019-11-13 13:55,2019-11-13 14:55,DK1,150
2019-11-13 13:50,2019-11-13 14:50,DK2,149
2019-11-13 13:50,2019-11-13 14:50,DK1,149
2019-11-13 13:45,2019-11-13 14:45,DK2,148
2019-11-13 13:45,2019-11-13 14:45,DK1,148
2019-11-13 13:40,2019-11-13 14:40,DK2,148
2019-11-13 13:40,2019-11-13 14:40,DK1,148
2019-11-13 13:35,2019-11-13 14:35,DK2,148
2019-11-13 13:35,2019-11-13 14:35,DK1,148
2019-11-13 13:30,2019-11-13 14:30,DK2,148
2019-11-13 13:30,2019-11-13 14:30,DK1,148
2019-11-13 13:25,2019-11-13 14:25,DK2,148
2019-11-13 13:25,2019-11-13 14:25,DK1,148
2019-11-13 13:20,2019-11-13 14:20,DK2,148
2019-11-13 13:20,2019-11-13 14:20,DK1,148
2019-11-13 13:15,2019-11-13 14:15,DK2,149
2019-11-13 13:15,2019-11-13 14:15,DK1,149
2019-11-13 13:10,2019-11-13 14:10,DK2,149
2019-11-13 13:10,2019-11-13 14:10,DK1,149
2019-11-13 13:05,2019-11-13 14:05,DK2,150
2019-11-13 13:05,2019-11-13 14:05,DK1,150
2019-11-13 13:00,2019-11-13 14:00,DK2,150
2019-11-13 13:00,2019-11-13 14:00,DK1,150
2019-11-13 12:55,2019-11-13 13:55,DK2,151
2019-11-13 12:55,2019-11-13 13:55,DK1,151
2019-11-13 12:50,2019-11-13 13:50,DK2,151
2019-11-13 12:50,2019-11-13 13:50,DK1,151
2019-11-13 12:45,2019-11-13 13:45,DK2,151
2019-11-13 12:45,2019-11-13 13:45,DK1,151
2019-11-13 12:40,2019-11-13 13:40,DK2,150
2019-11-13 12:40,2019-11-13 13:40,DK1,150
2019-11-13 12:35,2019-11-13 13:35,DK2,148
2019-11-13 12:35,2019-11-13 13:35,DK1,148
2019-11-13 12:30,2019-11-13 13:30,DK2,147
2019-11-13 12:30,2019-11-13 13:30,DK1,147
2019-11-13 12:25,2019-11-13 13:25,DK2,146
2019-11-13 12:25,2019-11-13 13:25,DK1,146
2019-11-13 12:20,2019-11-13 13:20,DK2,146
2019-11-13 12:20,2019-11-13 13:20,DK1,146
2019-11-13 12:15,2019-11-13 13:15,DK2,146
2019-11-13 12:15,2019-11-13 13:15,DK1,146
2019-11-13 12:10,2019-11-13 13:10,DK2,145
2019-11-13 12:10,2019-11-13 13:10,DK1,145
2019-11-13 12:05,2019-11-13 13:05,DK2,145
2019-11-13 12:05,2019-11-13 13:05,DK1,145
2019-11-13 12:00,2019-11-13 13:00,DK2,143
2019-11-13 12:00,2019-11-13 13:00,DK1,143
2019-11-13 11:55,2019-11-13 12:55,DK2,140
2019-11-13 11:55,2019-11-13 12:55,DK1,140
2019-11-13 11:50,2019-11-13 12:50,DK2,137
2019-11-13 11:50,2019-11-13 12:50,DK1,137
2019-11-13 11:45,2019-11-13 12:45,DK2,135
2019-11-13 11:45,2019-11-13 12:45,DK1,135
2019-11-13 11:40,2019-11-13 12:40,DK2,133
2019-11-13 11:40,2019-11-13 12:40,DK1,133
2019-11-13 11:35,2019-11-13 12:35,DK2,131
2019-11-13 11:35,2019-11-13 12:35,DK1,131
2019-11-13 11:30,2019-11-13 12:30,DK2,129
2019-11-13 11:30,2019-11-13 12:30,DK1,129
2019-11-13 11:25,2019-11-13 12:25,DK2,129
2019-11-13 11:25,2019-11-13 12:25,DK1,129
2019-11-13 11:20,2019-11-13 12:20,DK2,129
2019-11-13 11:20,2019-11-13 12:20,DK1,129
2019-11-13 11:15,2019-11-13 12:15,DK2,129
2019-11-13 11:15,2019-11-13 12:15,DK1,129
2019-11-13 11:10,2019-11-13 12:10,DK2,129
2019-11-13 11:10,2019-11-13 12:10,DK1,129
2019-11-13 11:05,2019-11-13 12:05,DK2,129
2019-11-13 11:05,2019-11-13 12:05,DK1,129
2019-11-13 11:00,2019-11-13 12:00,DK2,141
2019-11-13 11:00,2019-11-13 12:00,DK1,141
2019-11-13 10:55,2019-11-13 11:55,DK2,153
2019-11-13 10:55,2019-11-13 11:55,DK1,153
2019-11-13 10:50,2019-11-13 11:50,DK2,153
2019-11-13 10:50,2019-11-13 11:50,DK1,153
2019-11-13 10:45,2019-11-13 11:45,DK2,153
2019-11-13 10:45,2019-11-13 11:45,DK1,153
2019-11-13 10:40,2019-11-13 11:40,DK2,153
2019-11-13 10:40,2019-11-13 11:40,DK1,153
2019-11-13 10:35,2019-11-13 11:35,DK2,154
2019-11-13 10:35,2019-11-13 11:35,DK1,154
2019-11-13 10:30,2019-11-13 11:30,DK2,154
2019-11-13 10:30,2019-11-13 11:30,DK1,154
2019-11-13 10:25,2019-11-13 11:25,DK2,155
2019-11-13 10:25,2019-11-13 11:25,DK1,155
2019-11-13 10:20,2019-11-13 11:20,DK2,156
2019-11-13 10:20,2019-11-13 11:20,DK1,156
2019-11-13 10:15,2019-11-13 11:15,DK2,156
2019-11-13 10:15,2019-11-13 11:15,DK1,156
2019-11-13 10:10,2019-11-13 11:10,DK2,157
2019-11-13 10:10,2019-11-13 11:10,DK1,157
2019-11-13 10:05,2019-11-13 11:05,DK2,158
2019-11-13 10:05,2019-11-13 11:05,DK1,158
2019-11-13 10:00,2019-11-13 11:00,DK2,166
2019-11-13 10:00,2019-11-13 11:00,DK1,166
2019-11-13 09:55,2019-11-13 10:55,DK2,175
2019-11-13 09:55,2019-11-13 10:55,DK1,175
2019-11-13 09:50,2019-11-13 10:50,DK2,176
2019-11-13 09:50,2019-11-13 10:50,DK1,176
2019-11-13 09:45,2019-11-13 10:45,DK2,176
2019-11-13 09:45,2019-11-13 10:45,DK1,176
2019-11-13 09:40,2019-11-13 10:40,DK2,177
2019-11-13 09:40,2019-11-13 10:40,DK1,177
2019-11-13 09:35,2019-11-13 10:35,DK2,178
2019-11-13 09:35,2019-11-13 10:35,DK1,178
2019-11-13 09:30,2019-11-13 10:30,DK2,178
2019-11-13 09:30,2019-11-13 10:30,DK1,178
2019-11-13 09:25,2019-11-13 10:25,DK2,179
2019-11-13 09:25,2019-11-13 10:25,DK1,179
2019-11-13 09:20,2019-11-13 10:20,DK2,180
2019-11-13 09:20,2019-11-13 10:20,DK1,180
2019-11-13 09:15,2019-11-13 10:15,DK2,180
2019-11-13 09:15,2019-11-13 10:15,DK1,180
2019-11-13 09:10,2019-11-13 10:10,DK2,180
2019-11-13 09:10,2019-11-13 10:10,DK1,180
2019-11-13 09:05,2019-11-13 10:05,DK2,181
2019-11-13 09:05,2019-11-13 10:05,DK1,181
2019-11-13 09:00,2019-11-13 10:00,DK2,185
2019-11-13 09:00,2019-11-13 10:00,DK1,185
