Minutes5DK,CO2Emission
2019-11-14 00:00:00,142.2
2019-11-14 01:00:00,151.5
2019-11-14 02:00:00,171.0
2019-11-14 03:00:00,178.4
2019-11-14 04:00:00,191.4
2019-11-14 05:00:00,239.8
2019-11-14 06:00:00,240.3
2019-11-14 07:00:00,221.0
2019-11-14 08:00:00,269.3
2019-11-14 09:00:00,258.6
2019-11-14 10:00:00,306.8
2019-11-14 11:00:00,240.2
2019-11-14 12:00:00,225.2
2019-11-14 13:00:00,269.6
2019-11-14 14:00:00,233.2
2019-11-14 15:00:00,253.4
2019-11-14 16:00:00,309.4
2019-11-14 17:00:00,328.1
2019-11-14 18:00:00,285.1
2019-11-14 19:00:00,254.6
2019-11-14 20:00:00,254.3
2019-11-14 21:00:00,215.2
2019-11-14 22:00:00,183.0
2019-11-14 23:00:00,147.6
